Wahl,Ebene,WK-Nr,WK-Name,Ebene,AGS,Ortname,Briefwahl_Sonderfall,genaue Briefwahlzuordung,A1,A2,A3,Wahlberechtigte,Wähler,B1,Briefwähler,ungültige_1,gültige_1,AfD_1,SPD_1,CDU_1,FDP_1,Die Linke_1,GRÜNE_1,FREIE WÄHLER_1,Die PARTEI_1,Volt_1,PdH_1,MLPD_1,BÜNDNIS DEUTSCHLAND_1,BSW_1,EB:Busse_1,EB:Mauer_1,EB:Schubert_1,ungültige_2,gültige_2,AfD_2,SPD_2,CDU_2,FDP_2,Die Linke_2,GRÜNE_2,FREIE WÄHLER_2,Tierschutzpartei_2,Die PARTEI_2,PIRATEN_2,Volt_2,PdH_2,MLPD_2,BÜNDNIS DEUTSCHLAND_2,BSW_2,,Wahlbeteiligung,B1 in %,Briefwähler in %,ungültige_1 in %,gültige_1 in %,AfD_1 in %,SPD_1 in %,CDU_1 in %,FDP_1 in %,Die Linke_1 in %,GRÜNE_1 in %,FREIE WÄHLER_1 in %,Die PARTEI_1 in %,Volt_1 in %,PdH_1 in %,MLPD_1 in %,BÜNDNIS DEUTSCHLAND_1 in %,BSW_1 in %,EB:Busse_1 in %,EB:Mauer_1 in %,EB:Schubert_1 in %,ungültige_2 in %,gültige_2 in %,AfD_2 in %,SPD_2 in %,CDU_2 in %,FDP_2 in %,Die Linke_2 in %,GRÜNE_2 in %,FREIE WÄHLER_2 in %,Tierschutzpartei_2 in %,Die PARTEI_2 in %,PIRATEN_2 in %,Volt_2 in %,PdH_2 in %,MLPD_2 in %,BÜNDNIS DEUTSCHLAND_2 in %,BSW_2 in %
BW25,WK,150,Nordsachsen,GE,14730010,Arzberg,,,1202,302,0,1504,1204,290,288,21,1183,635,72,281,15,74,12,62,8,12,x,x,12,x,x,x,x,16,1188,619,75,222,31,70,14,23,7,5,3,5,1,0,4,109,x,80,24,24,2,98,54,6,24,1,6,1,5,1,1,x,x,1,x,x,x,x,1,99,52,6,19,3,6,1,2,1,0,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730020,"Bad Düben, Stadt",,,4882,1458,0,6340,4998,1395,1393,32,4966,1876,503,1090,76,420,127,787,48,19,x,x,20,x,x,x,x,28,4970,1928,450,1049,141,436,191,232,38,23,4,5,8,1,11,453,x,79,28,28,1,99,38,10,22,2,9,3,16,1,0,x,x,0,x,x,x,x,1,99,39,9,21,3,9,4,5,1,1,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730030,Beilrode,,,2602,656,0,3258,2662,638,638,30,2632,1286,232,638,53,178,41,156,17,10,x,x,21,x,x,x,x,20,2642,1272,213,524,74,180,62,61,23,8,2,7,0,0,8,208,x,82,24,24,1,99,49,9,24,2,7,2,6,1,0,x,x,1,x,x,x,x,1,99,48,8,20,3,7,2,2,1,0,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730045,"Belgern-Schildau, Stadt",,,4841,1366,0,6207,4935,1317,1312,34,4901,2550,357,1083,86,325,90,289,48,10,x,x,63,x,x,x,x,21,4914,2510,315,911,122,316,123,124,42,18,6,6,2,4,18,397,x,80,27,27,1,99,52,7,22,2,7,2,6,1,0,x,x,1,x,x,x,x,0,100,51,6,19,3,6,3,3,1,0,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730050,Cavertitz,,,1285,452,0,1737,1493,444,444,12,1481,778,90,364,29,101,7,73,14,14,x,x,11,x,x,x,x,11,1482,756,93,304,43,73,16,36,16,3,2,7,2,1,7,123,x,86,30,30,1,99,53,6,25,2,7,1,5,1,1,x,x,1,x,x,x,x,1,99,51,6,21,3,5,1,2,1,0,0,1,0,0,1,8
BW25,WK,150,Nordsachsen,GE,14730060,"Dahlen, Stadt",,,2464,932,0,3396,2760,898,897,27,2733,1154,256,733,76,242,68,126,31,23,x,x,24,x,x,x,x,18,2742,1130,219,586,95,201,89,54,29,11,4,14,3,1,4,302,x,81,33,33,1,99,42,9,27,3,9,3,5,1,1,x,x,1,x,x,x,x,1,99,41,8,21,4,7,3,2,1,0,0,1,0,0,0,11
BW25,WK,150,Nordsachsen,GE,14730070,"Delitzsch, Stadt",,,14778,5410,0,20188,15638,5228,5202,151,15487,6076,2134,3943,288,1444,354,807,200,138,x,x,103,x,x,x,x,107,15531,5915,1581,3379,479,1431,527,332,231,98,18,85,10,4,32,1409,x,78,33,33,1,99,39,14,26,2,9,2,5,1,1,x,x,1,x,x,x,x,1,99,38,10,22,3,9,3,2,2,1,0,1,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730080,Doberschütz,,,2688,741,0,3429,3010,704,701,32,2978,1398,263,699,75,212,61,192,48,16,x,x,14,x,x,x,x,27,2983,1361,225,578,118,184,94,74,22,20,5,7,2,1,6,286,x,88,23,23,1,99,47,9,24,3,7,2,6,2,1,x,x,1,x,x,x,x,1,99,46,8,19,4,6,3,3,1,1,0,0,0,0,0,10
BW25,WK,150,Nordsachsen,GE,14730090,"Dommitzsch, Stadt",,,1522,438,0,1960,1531,418,417,9,1522,700,128,376,30,125,14,112,19,7,x,x,11,x,x,x,x,9,1522,712,110,322,42,116,23,30,19,7,1,3,2,1,5,129,x,78,27,27,1,99,46,8,25,2,8,1,7,1,1,x,x,1,x,x,x,x,1,99,47,7,21,3,8,2,2,1,1,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730100,Dreiheide,,,1317,412,0,1729,1508,399,396,14,1494,717,117,364,40,86,23,124,10,7,x,x,6,x,x,x,x,12,1496,723,109,314,53,91,31,41,14,2,1,2,0,1,3,111,x,87,26,26,1,99,48,8,24,3,6,2,8,1,1,x,x,0,x,x,x,x,1,99,48,7,21,4,6,2,3,1,0,0,0,0,0,0,7
