Wahlkreis Nr.;Wahlkreisname;Kreisschlüssel;Kreisfreie Stadt/Landkreis;Gemeindeschlüssel;Gemeindename;Verbandgemeindeschlüssel;Verbandsgemeindename;Wahlbezirk;Wahlbezirksname;Wahllokal;A - Wahlberechtigte;B - Wähler/-innen;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - SPD;F02 - CDU;F03 - AfD;F04 - Die Linke;F05 - FDP;F06 - GRÜNE;F07 - FREIE WÄHLER;F08 - Die PARTEI;F09 - Volt;F10 - MLPD;F11 - BÜNDNIS DEUTSCHLAND;F12 - BSW;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - SPD;D02 - CDU;D03 - AfD;D04 - Die Linke;D05 - FDP;D06 - GRÜNE;D07 - FREIE WÄHLER;D08 - Die PARTEI;D10 - MLPD;D11 - BÜNDNIS DEUTSCHLAND;D13 - Andere KWV;D14 - Andere KWV
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;10;Innerstädtischer Bereich Nord 0;U;1208;637;6;631;96;114;214;94;16;23;13;2;1;1;1;56;9;628;97;148;227;96;9;32;19; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;12;Innerstädtischer Bereich Nord 2;U;1582;823;8;815;121;131;250;124;20;35;9;16;8;0;1;100;8;815;118;166;265;138;23;65;40; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;14;Innerstädtscher Bereich Nord 4;U;1044;577;8;569;52;71;225;82;19;34;7;8;4;0;1;66;11;566;63;96;229;85;21;47;25; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;15;Innerstädtscher Bereich Nord 5;U;825;503;3;500;57;100;151;70;10;48;8;8;3;1;2;42;7;496;46;128;160;64;13;68;17; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;16;Innerstädtscher Bereich Nord 6;U;1154;635;3;632;68;102;194;104;18;66;10;5;0;0;3;62;4;631;60;166;205;93;12;71;24; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;17;Innerstädtscher Bereich Nord 7;U;1784;1011;6;1005;110;180;300;161;34;105;11;12;11;0;1;80;6;1005;115;232;309;136;34;145;34; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;20;Innerstädtischer Bereich Mitte 0;U;1136;506;7;499;77;113;172;43;8;20;5;2;1;0;0;58;12;494;74;137;173;51;8;34;17; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;21;Innerstädtischer Bereich Mitte 1;U;1190;618;5;613;71;107;218;88;10;19;7;4;4;1;1;83;7;611;82;140;236;93;7;30;23; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;24;Innerstädtischer Bereich Mitte 4;U;1210;628;7;621;88;101;192;105;19;38;3;5;0;0;1;69;7;621;98;133;209;103;12;56;10; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;26;Innerstädtischer Bereich Mitte 6;U;1044;618;8;610;85;100;219;81;10;29;4;8;4;1;2;67;13;605;83;143;227;85;8;35;24; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;27;Innerstädtischer Bereich Mitte 7;U;1491;555;6;549;83;102;212;54;13;23;3;8;3;0;2;46;8;547;87;129;212;57;13;34;15; ; ; ; ; 
70;Anhalt – Dessau – Wittenberg;15001;Dessau-Roßlau, Stadt;15001000;Stadt Dessau-Roßlau;;;30;Innerstädtischer Bereich Süd 0;U;775;368;3;365;47;55;161;37;7;10;6;2;1;1;1;37;2;366;48;86;164;45;3;13;7; ; ; ; ; 
