Stand;Satzart;Wahlkreisnr;Kreisnr;Gemeindenr;Wahlbezirksnr;Name;Gemeinde mit eigenem Briefwahlbezirk;abgebend nach Gemeinde/Wahlbezirk;aufnehmend von Gemeinde/Wahlbezirk;Anzahl Wahlbezirke;;Wahlberechtigte;Wähler;Wahlbeteiligung;Erststimmen;;Zweitstimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;insgesamt;erfasst;;;;ungültige;gültige;ungültige;gültige;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Erststimmen;
;;;;;;;;;;;;;;;;;;;AfD;;AfD;;SPD;;SPD;;CDU;;CDU;;Die Linke;;Die Linke;;FDP;;FDP;;GRÜNE;;GRÜNE;;FREIE WÄHLER;;FREIE WÄHLER;;Volt;;Volt;;MLPD;;MLPD;;BÜNDNIS DEUTSCHLAND;;BÜNDNIS DEUTSCHLAND;;BSW;;BSW;;Einzelbewerber;;Einzelbewerber;
;;;;;;;;;;;;;;;;;;;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%
V;L;000;00;000;0000;Land Thüringen;;;;2993;2993;1652367;1333615; 80,7;10393;1323222;9481;1324134;512068; 38,7;510519; 38,6;131841; 10,0;115915; 8,8;272828; 20,6;246072; 18,6;209943; 15,9;200691; 15,2;28124; 2,1;37286; 2,8;36821; 2,8;56084; 4,2;25833; 2,0;20622; 1,6;-;-;7006; 0,5;1683; 0,1;1830; 0,1;-;-;3608; 0,3;96960; 7,3;124501; 9,4;7121; 0,5;-;-
V;K;188;00;000;0000;Eichsfeld - Nordhausen - Kyffhäuserkreis;;;;402;402;206488;165874; 80,3;1357;164517;1175;164699;65025; 39,5;64144; 38,9;14360; 8,7;14096; 8,6;45730; 27,8;38444; 23,3;19528; 11,9;21894; 13,3;3818; 2,3;4877; 3,0;3000; 1,8;4425; 2,7;-;-;1702; 1,0;-;-;485; 0,3;342; 0,2;174; 0,1;-;-;373; 0,2;12714; 7,7;14085; 8,6;-;-;-;-
V;;188;61;000;9101;Gemeinde Uder;;;;1;1;-;1032;-;5;1027;3;1029;273; 26,6;262; 25,5;86; 8,4;103; 10,0;448; 43,6;382; 37,1;107; 10,4;124; 12,1;19; 1,9;19; 1,8;25; 2,4;46; 4,5;-;-;13; 1,3;-;-;4; 0,4;4; 0,4;1; 0,1;-;-;2; 0,2;65; 6,3;73; 7,1;-;-;-;-
V;;188;61;000;9102;VG Eichsfeld-Wipperaue;;;;1;1;-;1388;-;7;1381;4;1384;301; 21,8;294; 21,2;121; 8,8;124; 9,0;613; 44,4;509; 36,8;150; 10,9;192; 13,9;38; 2,8;43; 3,1;41; 3,0;60; 4,3;-;-;23; 1,7;-;-;12; 0,9;3; 0,2;1; 0,1;-;-;10; 0,7;114; 8,3;116; 8,4;-;-;-;-
V;;188;61;000;9103;VG Ershausen/Geismar;;;;1;1;-;701;-;6;695;3;698;189; 27,2;184; 26,4;47; 6,8;50; 7,2;319; 45,9;282; 40,4;53; 7,6;80; 11,5;21; 3,0;17; 2,4;23; 3,3;23; 3,3;-;-;15; 2,1;-;-;3; 0,4;-;-;-;-;-;-;1; 0,1;43; 6,2;43; 6,2;-;-;-;-
V;;188;61;000;9104;VG Hanstein-Rusteberg;;;;1;1;-;712;-;3;709;2;710;178; 25,1;175; 24,6;78; 11,0;70; 9,9;281; 39,6;240; 33,8;87; 12,3;102; 14,4;5; 0,7;8; 1,1;25; 3,5;39; 5,5;-;-;14; 2,0;-;-;7; 1,0;2; 0,3;-;-;-;-;2; 0,3;53; 7,5;53; 7,5;-;-;-;-
V;;188;61;000;9105;VG Leinetal;;;;1;1;-;616;-;1;615;2;614;176; 28,6;179; 29,2;39; 6,3;32; 5,2;280; 45,5;226; 36,8;43; 7,0;70; 11,4;19; 3,1;26; 4,2;4; 0,7;17; 2,8;-;-;6; 1,0;-;-;3; 0,5;-;-;-;-;-;-;-;-;54; 8,8;55; 9,0;-;-;-;-
V;;188;61;000;9106;VG Lindenberg/Eichsfeld;;;;1;1;-;927;-;4;923;4;923;250; 27,1;249; 27,0;72; 7,8;82; 8,9;395; 42,8;319; 34,6;71; 7,7;88; 9,5;21; 2,3;29; 3,1;19; 2,1;32; 3,5;-;-;12; 1,3;-;-;4; 0,4;-;-;-;-;-;-;1; 0,1;95; 10,3;107; 11,6;-;-;-;-
