# (c) Die Bundeswahlleiterin, Statistische Ämter des Bundes und der Länder, Wiesbaden 2024;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 21. Deutschen Bundestag (gemäß 27. Gesetz zur Änderung des Bundeswahlgesetzes vom 07.03.2024 (BGBl. 2024 I Nr. 91) und Bekanntmachung zur Wahlkreiseinteilung vom 27.12.2024 (BGBl. 2024 I Nr. 437));;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 30.11.2024;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;01;0000;000;Schleswig-Holstein;;Flensburg, Stadt;;Flensburg, Stadt;;;;24937;*****
001;Flensburg – Schleswig;01;0;59;0000;045;Schleswig-Holstein;;Schleswig-Flensburg;;Kappeln, Stadt;;;;24376;*****
001;Flensburg – Schleswig;01;0;59;0000;075;Schleswig-Holstein;;Schleswig-Flensburg;;Schleswig, Stadt;;;;24837;
001;Flensburg – Schleswig;01;0;59;0000;113;Schleswig-Holstein;;Schleswig-Flensburg;;Glücksburg (Ostsee), Stadt;;;;24960;
001;Flensburg – Schleswig;01;0;59;0000;120;Schleswig-Holstein;;Schleswig-Flensburg;;Harrislee;;;;24955;
001;Flensburg – Schleswig;01;0;59;0000;183;Schleswig-Holstein;;Schleswig-Flensburg;;Handewitt;;;;24983;*****
001;Flensburg – Schleswig;01;0;59;5912;107;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Eggebek;;;;24852;
001;Flensburg – Schleswig;01;0;59;5912;128;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Janneby;;;;24992;
001;Flensburg – Schleswig;01;0;59;5912;131;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Jerrishoe;;;;24963;
001;Flensburg – Schleswig;01;0;59;5912;132;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Jörl;;;;24992;
