CSV-Datei erstellt am: 05.03.2025 10:55:15
WAHLDATUM;WAHLART;GEBIET;EBENE;NR;BEZEICHNUNG;A;A1;A2;A3;B;B1;C;D;E;F;D1;D2;D3;D4;D5;D6;D11;D12;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18
;;;;;;;;;;;;;;;;SPD;CDU;GRÜNE;FDP;AfD;Die Linke;FREIE WÄHLER;Volt;SPD;CDU;GRÜNE;FDP;AfD;Die Linke;Tierschutzpartei;Die PARTEI;dieBasis;Team Toden;FREIE WÄHLER;Volt;MLPD;PdF;BÜNDNIS DEUTSCHLAND;BSW;MERA25;WerteUnion
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;111;Gemeindehaus Johanneskirche;1012;719;293;0;655;2;6;649;4;651;97;300;79;48;97;20;8;---;65;280;90;56;95;30;2;1;1;1;2;2;0;3;0;22;0;1
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;112;Forstwaldschule;892;612;280;0;510;7;6;504;3;507;124;170;47;33;94;28;8;---;92;166;52;32;95;37;3;2;1;0;2;3;0;0;1;20;1;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;113;BF Königshof 1952 e.V. Clubhaus;1187;863;324;0;698;3;5;693;2;696;175;216;73;48;127;44;10;---;152;192;81;50;120;49;8;6;2;2;3;0;0;0;3;27;0;1
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;114;Lindenschule;949;700;249;0;556;1;6;550;9;547;146;165;38;16;105;71;9;---;100;141;38;21;94;77;8;2;3;6;2;3;0;0;1;48;1;2
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;115;Forstwaldschule;1220;808;412;0;710;11;9;701;5;705;134;277;91;45;113;35;6;---;107;255;88;67;111;42;5;0;1;1;4;2;0;0;0;22;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;121;Gem.-Grundschule am Stadtpark Fischeln;1153;899;254;0;608;2;5;603;3;605;157;179;50;23;152;28;14;---;128;162;48;32;150;33;11;6;1;1;2;4;0;3;0;22;1;1
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;122;Gem.-Grundschule Vulkanstraße;655;548;107;0;362;3;8;354;4;358;123;61;15;15;62;71;7;---;77;56;18;15;60;78;7;0;1;5;3;0;0;0;0;33;2;3
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;123;Städt. Kita Remscheider Straße;1054;781;273;0;600;7;7;593;4;596;198;151;40;31;96;64;13;---;148;147;52;37;93;58;6;2;2;5;2;2;0;2;1;38;0;1
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;124;Gem.-Grundschule Vulkanstraße;808;680;128;0;448;5;8;440;7;441;118;70;18;13;122;93;6;---;87;63;13;9;111;76;11;3;1;6;0;1;2;1;1;53;3;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;125;Gem.-Grundschule am Stadtpark Fischeln;1035;776;259;0;620;3;8;612;4;616;135;170;39;26;161;72;9;---;113;159;44;28;153;67;4;3;0;2;5;2;3;1;0;32;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;126;Städt. Kita Krützboomweg;761;565;196;0;491;1;2;489;0;491;128;170;45;39;70;32;5;---;97;160;51;39;72;40;2;0;1;0;4;1;0;2;0;22;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;133;Lindenschule;1362;933;429;0;801;12;7;794;5;796;223;261;90;47;111;45;17;---;189;244;109;40;109;49;9;5;1;0;4;6;0;1;0;29;1;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;134;Städt. Werke Krefeld;749;529;220;0;386;3;7;379;3;383;108;101;29;13;74;48;6;---;70;102;32;14;71;52;4;3;0;0;2;1;0;0;1;31;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;136;Kurt-Tucholsky-Gesamtschule;1433;1062;371;0;652;5;12;640;8;644;172;131;67;26;132;99;13;---;133;118;78;23;126;94;10;5;2;4;2;7;0;0;0;41;1;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;137;Stadt Krefeld Verwaltungssteuerung und -service;1031;737;294;0;556;6;6;550;5;551;151;121;83;19;89;75;12;---;103;109;94;16;88;73;5;9;2;4;3;2;2;1;0;40;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;141;Saassenhof;808;571;237;0;456;3;3;453;2;454;123;142;48;24;77;36;3;---;111;129;49;22;77;34;9;1;1;1;1;1;0;2;0;16;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;142;Freiherr-vom-Stein-Schule;1333;847;486;0;738;8;3;735;2;736;211;255;84;29;108;34;14;---;148;232;105;42;116;45;6;3;3;1;3;2;0;0;1;29;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;144;Südschule;1191;761;430;0;642;9;2;640;2;640;178;221;68;24;97;40;12;---;140;202;85;24;100;35;7;7;2;1;6;2;0;0;2;26;0;1
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;145;Südschule;1325;848;477;0;738;7;2;736;2;736;208;274;88;36;84;33;13;---;147;241;96;54;85;49;4;5;2;0;2;6;0;2;1;42;0;0
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;147;Südschule;1671;1145;526;0;984;4;7;977;4;980;227;365;118;63;139;55;10;---;179;328;155;67;140;63;8;5;1;0;5;3;2;1;1;20;1;1
23.02.2025;Bundestagswahl;Stadt Krefeld;Wahlbezirk;151;Gem.-Grundschule Krähenfeld;771;583;188;0;411;1;5;406;8;403;84;88;32;23;143;32;4;---;72;73;37;24;132;29;1;2;2;2;1;7;0;0;0;21;0;0
